date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:56	2489/2489	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22926e768cc50b690c7e2ccd0eb5921247%22	https://amaninfo/robots.txt		(from )
17:23:56	36678/36678	---MCZ	200	added ('OK')	text/html	etag:W/%22c28fbed1f3f870b187fe74c8eb742383%22	https://amaninfo/?storefront=envato-elements	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/index04b9.html	(from )
17:23:57	44776/44776	---MCZ	200	added ('OK')	text/css	etag:W/%2271119766b2d85b01c11afaf2825876dd%22	https://amaninfo/css/devicon.min.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/devicon.min.css	(from https://amaninfo/?storefront=envato-elements)
17:23:57	100722/100722	---MCZ	200	added ('OK')	text/css	etag:W/%22eb200ef279c8a66e195b82932e412620%22	https://amaninfo/css/all.min.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/all.min.css	(from https://amaninfo/?storefront=envato-elements)
17:23:57	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2294994c66fec8c3468b269dc0cc242151%22	https://amaninfo/css/bootstrap.min.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/bootstrap.min.css	(from https://amaninfo/?storefront=envato-elements)
17:23:58	15817/15817	---MCZ	200	added ('OK')	text/css	etag:W/%22e677de638e4a21637dce55135062ffad%22	https://amaninfo/css/swiper-bundle.min.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/swiper-bundle.min.css	(from https://amaninfo/?storefront=envato-elements)
17:23:58	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%22178b651958ceff556cbc5f355e08bbf1%22	https://amaninfo/css/animate.min.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/animate.min.css	(from https://amaninfo/?storefront=envato-elements)
17:23:58	42839/42839	---MCZ	200	added ('OK')	text/css	etag:W/%22f59e3f4c0087b4d8ddc27bdd9c9ab92b%22	https://amaninfo/css/jquery.mCustomScrollbar.min.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/jquery.mCustomScrollbar.min.css	(from https://amaninfo/?storefront=envato-elements)
17:23:59	43549/43549	---MCZ	200	added ('OK')	text/css	etag:W/%22181339bf5d1df54193fbb08cd8a5489c%22	https://amaninfo/css/style.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/style.css	(from https://amaninfo/?storefront=envato-elements)
17:23:59	4085/4085	---MCZ	200	added ('OK')	text/css	etag:W/%2285f07f5796c2e3e402a0a529b44bae17%22	https://amaninfo/css/styleswitcher.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/styleswitcher.css	(from https://amaninfo/?storefront=envato-elements)
17:23:59	1380/1380	---MCZ	200	added ('OK')	text/css	etag:W/%2259a4c8bcdeb589da3666a186dac051a4%22	https://amaninfo/css/skins/yellow.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/css/skins/yellow.css	(from https://amaninfo/?storefront=envato-elements)
17:24:00	14928/14928	---MCZ	200	added ('OK')	text/css	etag:W/%22c5d216b42fe46c523238d681a8d49189%22	https://amaninfo/_next/static/css/9855f3c66cf429a4.css	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/css/9855f3c66cf429a4.css	(from https://amaninfo/?storefront=envato-elements)
17:24:00	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://amaninfo/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://amaninfo/?storefront=envato-elements)
17:24:01	1455/1455	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e056395c3a3097484467553b71c7462%22	https://amaninfo/_next/static/chunks/webpack-60d328ea1049e7c2.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/webpack-60d328ea1049e7c2.js	(from https://amaninfo/?storefront=envato-elements)
17:24:01	141039/141039	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce92e70efebf4e2e2929a15fa2942e4a%22	https://amaninfo/_next/static/chunks/framework-cda2f1305c3d9424.js	D:/AMAN_LOGIMETRIX/Personal%20Doc/portAman/amaninfo/_next/static/chunks/framework-cda2f1305c3d9424.js	(from https://amaninfo/?storefront=envato-elements)
